RowID,ObjectID,Object_Number,Sort_Number,Dept,Maker,Alpha_Sort,Title,Date,Begin_Date,End_Date,Medium,Dimensions,Credit_Line,Primary_Image_Filename,GeoRowID,GeoObjectID,Geography_Type,Continent,Subcontinent,Country
15,21305,y1938-50,1938   50y,ABI,Greek; Hellenistic,Greek; Hellenistic,Breast ornament with bust of Artemis,2nd century B.C.,-199,-100,"Gold, garnet, and enamel",diam. 7.9 cm. (3 1/8 in.),Museum purchase,y1938-50_2.jpg,19,21305,Place made,Europe,,Greece
16,20821,y1939-35,1939   35y,American,"William Merritt Chase, American, 1849_1916","Chase, William Merritt","Landscape: Shinnecock, Long Island",ca. 1896,1891,1901,Oil on wood panel,"36.3 x 40.9 cm. (14 5/16 x 16 1/8 in.)
frame: 65.1 _ 69.3 _ 8.5 cm (25 5/8 _ 27 5/16 _ 3 3/8 in.)","Gift of Francis A. Comstock, Class of 1919",y1939-35_1.jpg,20,20821,,,,
17,3139,x1940-78.4r,1940   78x    4r,P&D,"Thomas Cole, American, 1801_1848","Cole, Thomas",Crawford Notch,1839,1839,1839,Sketchbook page; graphite on cream wove paper,28.4 x 43 cm. (11 3/16 x 16 15/16 in.),Gift of Frank Jewett Mather Jr.,x1940-78_4r_1.jpg,21,3139,,,,
18,21699,y1940-430,1940  430y,American,"Albert Bierstadt, American, 1830_1902",Bierstadt Albert,"Mount  Adams, Washington",1875,1875,1875,Oil on canvas,"138 x 213 cm. (54 5/16 x 83 7/8 in.)
frame: 180 _ 255.7 _ 15.5 cm (70 7/8 _ 100 11/16 _ 6 1/8 in.)",Gift of Mrs. Jacob N. Beam,y1940-430.jpg,22,21699,,,,
19,21730,y1941-51,1941   51y,American,"Thomas Cole, American, 1801_1848","Cole, Thomas",The Course of Empire_The Savage State,ca. 1834,1829,1839,Oil on paper mounted on canvas,"16 x 26 cm. (6 5/16 x 10 1/4 in.)
frame: 29.5 _ 39.5 _ 4.7 cm (11 5/8 _ 15 9/16 _ 1 7/8 in.)",Gift of Frank Jewett Mather Jr.,y1941-51.jpg,23,21730,,,,
20,3656,x1941-163,1941  163x,P&D,"Jean-Fran?ois Millet, French, 1814_1875","Millet, Jean-Francois",La Lessiveuse (The Lye-Washer),ca. 1852_53,1852,1853,"Black chalk with stumping, heightened with white, on gray-blue wove paper",43.5 x 32.5 cm. (17 1/8 x 12 13/16 in.),Gift of Frank Jewett Mather Jr.,x1941-163.jpg,24,3656,,,,
21,3658,x1941-166,1941  166x,P&D,"Paul C_zanne, French, 1839_1906","C_zanne, Paul",Pine Tree in Front of the Caves above Ch?teau Noir,ca. 1900,1885,1905,Watercolor and graphite on cream wove paper,46.5 x 35.5 cm. (18 5/16 x 14 in.),Anonymous gift,x1941-166_1.jpg,25,3658,,,,
22,21911,y1942-60,1942   60y,ABI,Middle Byzantine; attributed to the Nikephoros Group,Byzantine; Nikephoros Group,Plaque with the Crucifixion,10th century,900,999,Ivory,13.5 _ 8.8 _ 0.7 cm (5 5/16 _ 3 7/16 _ 1/4 in.),Museum purchase,y1942-60.jpg,26,21911,Place made,,,Turkey
23,21946,y1942-62,1942   62y,American,"Childe Hassam, American, 1859_1935","Hassam, Childe","Rainy Day, Fifth Avenue",1916,1916,1916,Oil on canvas,"46 x 39 cm. (18 1/8 x 15 3/8 in.)
frame: 63.5 _ 56.2 _ 5 cm (25 _ 22 1/8 _ 1 15/16 in.)","Gift of Albert E. McVitty, Class of 1898",y1942-62.jpg,27,21946,,,,
24,21914,y1942-73,1942   73y,Asian,Gandharan,Gandharan,Frieze of musicians,3rd century A.D.,200,299,Schist,"h. 20.0 cm., l. 60.0 cm., w. 5.0 cm. (7 7/8 x 23 5/8 x 1 15/16 in.)",Museum purchase,y1942-73.jpg,28,21914,Place made,Asia,,India
25,22247,y1943-93,1943   93y,American,"George Inness, American, 1825_1894","Inness, George",The Home of the Heron,1891,1891,1891,Oil on canvas,"107 x 94 cm. (42 1/8 x 37 in.)
frame: 133 _ 120 _ 13 cm (52 3/8 _ 47 1/4 _ 5 1/8 in.)","Gift of Victor Stephen Harris, Class of 1940, and David Harris, Class of 1944, in memory of their father, Victor Harris",y1943-93.jpg,29,22247,,,,
26,22043,y1943-120,1943  120y,American,"William T. Ranney, American, 1813_1857","Ranney, William T.",Washington Rallying the Americans at the Battle of Princeton,1848,1848,1848,Oil on canvas,"123.0 x 163.0 cm. (48 7/16 x 64 3/16 in.)
frame: 157.0 x 195.3 x 26.4 cm. (61 13/16 x 76 7/8 x 10 3/8 in.)","Gift of Edward Wasserman in honor of his children, Jesse A., Renee H., and Edward Wasserman Jr.",y1943-120.jpg,30,22043,,,,
27,4713,x1944-18,1944   18x,P&D,"Giovanni Battista Tiepolo, Venice 1696_1770 Madrid","Tiepolo, Giovanni Battista",Woman and Satyr,ca. 1740,1735,1745,Pen and brown ink with brush and brown wash over black chalk on cream laid paper,"28.4 _ 36.2 cm. (11 3/16 _ 14 1/4 in.)
frame: 45.9 _ 61 _ 3.2 cm (18 1/16 _ 24 _ 1 1/4 in.)",Gift of Frank Jewett Mather Jr.,x1944-18.jpg,31,4713,,,,
28,22394,y1944-64,1944   64y,EPS,"Odilon Redon, French, 1840_1916","Redon, Odilon",Apparition,1905_10,1905,1910,Oil on canvas,"65.0 x 50.0 cm. (25 9/16 x 19 11/16 in.)
frame: 83.8 x 68.6 cm. (33 x 27 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1944-64.jpg,32,22394,,,,
29,4802,x1944-274,1944  274x,P&D,"Vittore Carpaccio, Venice ca. 1460/66_1525/26 Venice","Carpaccio, Vittore","Two Standing Women, One in Mamluk Dress",1501_08,1501,1508,"Brush and brown ink with brush and gray-brown wash, heightened with white gouache over black chalk, on light brown paper; verso: Brush and brown wash and black chalk, heightened with white gouache on light brown laid paper","23.2 _ 12.1 cm. (9 1/8 _ 4 3/4 in.)
frame: 51 _ 40.6 _ 3.5 cm (20 1/16 _ 16 _ 1 3/8 in.)",Gift of Frank Jewett Mather Jr.,x1944-274_REC.jpg,33,4802,,,,
30,22614,y1945-207,1945  207y,American,"John Neagle, American, 1796_1865","Neagle, John",John Kintzing Kane,1828,1828,1828,Oil on canvas,"77 x 64 cm. (30 5/16 x 25 3/16 in.)
frame: 96.3 _ 86 _ 8 cm (37 15/16 _ 33 7/8 _ 3 1/8 in.)",Museum purchase,y1945-207.jpg,34,22614,,,,
31,22615,y1945-212,1945  212y,American,"Frederic Edwin Church, American, 1826_1900","Church, Frederic Edwin",Passing Shower in the Tropics,1872,1872,1872,Oil on canvas,"31 x 51 cm. (12 3/16 x 20 1/16 in.)
frame: 41.8 _ 62.5 _ 3.1 cm (16 7/16 _ 24 5/8 _ 1 1/4 in.)",Museum purchase,y1945-212.jpg,35,22615,,,,
32,22079,y1945-274,1945  274y,American,"Randolph Rogers, American, 1825_1892",Rogers Randolph,"Nydia, the Blind Flower Girl of Pompeii",after original model of 1855,1855,1892,Marble,135 _ 73.5 _ 92.5 cm (53 1/8 _ 28 15/16 _ 36 7/16 in.),Gift of Dr. J. Ackerman Coles and Emily Coles,y1945-274_FRN1.jpg,36,22079,Place made,North America,,United States
33,23197,y1946-78,1946   78y,American,"William Rush, American, 1756_1833","Rush, William",George Washington,ca. 1817,1812,1822,Painted plaster,69 _ 49 _ 36.5 cm (27 3/16 _ 19 5/16 _ 14 3/8 in.),"Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1946-78_OBL.jpg,37,23197,,,,
34,22781,y1946-104,1946  104y,American,"Asher Brown Durand, American, 1796_1886","Durand, Asher Brown",Kaaterskill Landscape,1850,1850,1850,Oil on canvas,"54 x 44 cm. (21 1/4 x 17 5/16 in.)
frame: 77.2 _ 67.2 _ 8.5 cm (30 3/8 _ 26 7/16 _ 3 3/8 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1946-104.jpg,38,22781,,,,
35,22886,y1946-191,1946  191y,Asian,"Chinese; Northern Song dynasty, 960_1127; Li Gongnian ???, active early 12th century",Chinese; Northern Song; Li Gongnian,Winter Evening Landscape,ca. 1120,1115,1125,Hanging scroll; ink and light colors on silk,"Painting: 129.6 x 48.3 cm. (51 x 19 in.)
Mount: 202.5 x 62.2 cm. (79 3/4 x 24 1/2 in.)","Gift of DuBois Schanck Morris, Class of 1893",y1946-191.jpg,39,22886,Place made,Asia,,China
36,5509,x1946-268,1946  268x,P&D,"Edward Hopper, American, 1882_1967","Hopper, Edward",Universalist Church,1926,1926,1926,Watercolor over graphite on cream wove paper,35.6 x 50.8 cm. (14 x 20 in.),Laura P. Hall Memorial Collection,STU00688.jpg,40,5509,,,,
37,5237,x1947-28,1947   28x,P&D,"George Romney, British, 1734_1802; formerly attributed to William Blake, British, 1757_1827","Romney, George; Blake William",The Origin of Painting,ca. 1775_80,1775,1780,Pen and brown ink and brush and gray wash on tan laid paper,51.7 x 32.2 cm. (20 3/8 x 12 11/16 in.),Gift of Frank Jewett Mather Jr.,x1947-28.jpg,41,5237,,,,
38,23553,y1947-74,1947   74y,Asian,"Chinese; Ming dynasty, 1368_1644; Wang E ??, active ca. 1488_ca. 1541",Chinese; Ming dynasty; Wang E,Winter in the Mountains (Dong jing shanshui ????),after 1510,1511,1521,Hanging scroll; ink and light colors on silk,Painting: 183 x 104 cm. (72 1/16 x 40 15/16 in.),"Gift of DuBois Schanck Morris, Class of 1893",y1947-74.jpg,42,23553,Place made,Asia,,China
39,5253,x1947-184,1947  184x,P&D,"Samuel Palmer, British, 1805_1881","Palmer, Samuel",Moonlit Landscape,ca. 1828_30,1828,1830,"Brush and brown wash, over graphite, on cream wove paper",9.4 x 11.5 cm. (3 11/16 x 4 1/2 in.),Gift of Frank Jewett Mather Jr.,x1947-184.jpg,43,5253,,,,
40,23270,y1947-207,1947  207y,American,"John Frazee, American, 1790_1852","Frazee, John",Andrew Jackson,1834,1834,1834,Plaster,"33 _ 22 _ 28 cm (13 _ 8 11/16 _ 11 in.)
base: 11 _ 21 _ 23.3 cm (4 5/16 _ 8 1/4 _ 9 3/16 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1947-207.jpg,44,23270,,,,
41,23342,y1947-245,1947  245y,Asian,"Chinese; Ming dynasty, 1368_1644; Tang Yin ??, 1470_1524",Chinese; Ming dynasty; Tang Yin,Seeing Off a Guest on a Mountain Path (Shanlu song ke ????),undated; ca. 1505_10,1500,1515,Hanging scroll; ink and light colors on silk,"Painting: 118 x 61 cm. (46 7/16 x 24 in.)
Mount: 263.5 x 71.2 cm. (103 3/4 x 28 1/16 in.)","Gift of DuBois Schanck Morris, Class of 1893",y1947-245.jpg,45,23342,Place made,Asia,,China
42,23727,y1948-8,1948    8y,ABI,"Greek, possibly Athenian",Greek,Statuette of a horse and rider,early 5th century B.C.,-499,-470,Cast bronze,"h. 8.3 cm., w. 2.5 cm., l. 7.5 cm. (3 1/4 x 1 x 2 15/16 in.)",Gift of Frank Jewett Mather Jr.,y1948-8.jpg,46,23727,,,,
43,8047,x1948-598,1948  598x,P&D,"Federico Barocci, Urbino ca. 1535_1612 Urbino",Barocci Federico,Studies for Saint Sebastian,ca. 1592_96,1587,1597,"Black chalk and charcoal, heightened with white chalk, with stumping and touches of red chalk, on tan laid paper prepared with a medium brown wash, squared in black chalk","42.5 _ 26.3 cm. (16 3/4 _ 10 3/8 in.)
frame: 61.1 _ 45.7 _ 3.2 cm (24 1/16 _ 18 _ 1 1/4 in.)","Bequest of Dan Fellows Platt, Class of 1895",x1948-598_1.jpg,47,8047,,,,
44,7748,x1948-667,1948  667x,P&D,"Bertoia (Jacopo Zanguidi), Parma 1544_1573/74 Parma",Bertoia,Seated Madonna and Child and Various Studies,ca. 1570_71,1565,1576,"Pen and brown ink and brush and brown wash on light tan laid paper; verso: Pen and brown ink, brush and brown wash, and red chalk, on light tan laid paper","40.6 _ 27.1 cm. (16 _ 10 11/16 in.)
frame: 61.8 _ 46.5 _ 4.3 cm (24 5/16 _ 18 5/16 _ 1 11/16 in.)","Bequest of Dan Fellows Platt, Class of 1895",x1948-667_REC.jpg,48,7748,,,,
45,8161,x1948-734,1948  734x,P&D,"Guercino (Giovanni Francesco Barbieri), Cento 1591_1666 Bologna",Guercino,Study for the Martyrdom of Saint Bartholomew,1635_36,1635,1636,Pen and brown ink and brush and brown wash on cream laid paper,"20.3 _ 25.5 cm. (8 _ 10 1/16 in.)
frame: 42.1 _ 54.8 _ 2.9 cm (16 9/16 _ 21 9/16 _ 1 1/8 in.)","Bequest of Dan Fellows Platt, Class of 1895",x1948-734_1.jpg,49,8161,,,,
46,8421,x1948-904,1948  904x,P&D,"Domenico Tiepolo, Venice 1727_1804 Venice","Tiepolo, Domenico",The Doctor's Visit,ca. 1791,1786,1796,"Pen and brown ink with brush and gray brown wash over black chalk, on beige laid paper","35.1 _ 47.8 cm. (13 13/16 _ 18 13/16 in.)
frame: 51.6 _ 66.8 _ 2.9 cm (20 5/16 _ 26 5/16 _ 1 1/8 in.)","Bequest of Dan Fellows Platt, Class of 1895",x1948-904.jpg,50,8421,,,,
47,6306,x1948-1294,1948 1294x,P&D,"Guercino (Giovanni Francesco Barbieri), Cento 1591_1666 Bologna",Guercino,Boy in a Large Hat,1630s_40s,1630,1649,Pen and brown ink with brush and brown wash on beige laid paper,16.5 _ 12.1 cm. (6 1/2 _ 4 3/4 in.),"Bequest of Dan Fellows Platt, Class of 1895",x1948-1294.jpg,51,6306,,,,
48,8740,x1949-42,1949   42x,P&D,"Pordenone (Giovanni Antonio de Sacchis), Pordenone 1483/84_1539 Ferrara","Pordenone de' Sacchis, Giovanni Antonio",Standing Saint Roch: Study for the Saint Gothard Altarpiece,ca. 1525_26,1520,1530,"Red chalk on light tan paper, squared in a lighter tone of red chalk","26.3 _ 15.6 cm. (10 3/8 _ 6 1/8 in.)
frame: 54.3 _ 41.6 _ 2.9 cm (21 3/8 _ 16 3/8 _ 1 1/8 in.)","Bequest of Dan Fellows Platt, Class of 1895",x1949-42.jpg,52,8740,,,,
49,23700,y1949-108,1949  108y,American,"Thomas Sully, American, born England, 1783_1872",Sully Thomas,Mrs. Reverdy Johnson,ca. 1840,1835,1845,Oil on canvas,"239.0 x 150.0 cm. (94 1/8 x 59 1/16 in.)
frame: 290.8 x 201.9 x 15.2 cm. (114 1/2 x 79 1/2 x 6 in.)","Museum purchase with funds given by twenty-one Friends of the University, aided by the Caroline G. Mather Fund",y1949-108.jpg,53,23700,,,,
50,23705,y1949-110,1949  110y,ABI,Roman; Early Antonine,Roman; Antonine,Front panel of a sarcophagus with scenes from the life of Dionysos,ca. 140 _ 160 A.D.,140,160,"Fine-grained, opaque white marble with faint dark veining, probably Proconnesian","h. 38.5 cm., w. 150.5 cm., d. 5.5 cm. (15 3/16 x 59 1/4 x 2 3/16 in.)
floor: d. 4.5 cm. (1 3/4 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1949-110.jpg,54,23705,,,,
51,23744,y1949-117,1949  117y,EPS,French,French,"Capital from the Church of Sainte Madeleine, V_zelay",1140s,1140,1149,Stone,"h. 24.1 cm. (9 1/2 in.)
upper surface: 25.0 x 19.0 cm. (9 13/16 x 7 1/2 in.)","Museum purchase, gift of Gordon McCormick, Class of 1917",y1949-117.jpg,55,23744,Place made,Europe,,France
52,23367,y1950-1,1950    1y,EPS,"Herri Met de Bles, Flemish, ca. 1510_after 1550","Met de Bles, Herri",The Road to Calvary,ca. 1535,1530,1540,Oil on wood panel,"82.2 x 114.3 cm. (32 3/8 x 45 in.)
frame: 105.4 x 137.2 x 13.3 cm. (41 1/2 x 54 x 5 1/4 in.)","Museum purchase, gift of the Friends of the Princeton University Art Museum",y1950-1.jpg,56,23367,,,,
53,23368,y1950-10,1950   10y,ABI,"Greek, Attic; in the manner of the Berlin Painter",Attic; Berlin Painter,Panathenaic amphora,ca. 500_490 B.C.,-500,-490,Ceramic,"h. 62.4 cm., diam. 41.1 cm. (24 9/16 x 16 3/16 in.)
diam. mouth 18.0 cm. (7 1/16 in.) 
diam. foot 13.9 cm. (5 1/2 in.)",Bequest of Mrs. Allan Marquand,y1950-10_b.jpg,57,23368,,,,
54,23888,y1950-66,1950   66y,Asian,"Chinese; Southern Song dynasty, 1127_1279",Chinese; Southern Song,Guanyin seated in Royal-ease pose,ca. 1250,1200,1300,"Wood with traces of blue-green, red, and gold pigments on white clay underlayer with relief designs","h. 110.0 cm., approx w. 79.0 cm., approx d. 50.0 cm. (43 5/16 x 31 1/8 x 19 11/16 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection",y1950-66_OBL.jpg,58,23888,Place made,Asia,,China
55,42128,y1951-28,1951   28y,P&D,Ethiopian,Ethiopian,Illuminated Manuscript,18th century,1700,1799,"Vellum, tempera, and leather binding",32 x 22 x 6 cm. (12 5/8 x 8 11/16 x 2 3/8 in.),Gift of Frank Jewett Mather Jr.,y1951-28_92.jpg,59,42128,Place made,Africa,,Ethiopia
56,24418,y1952-58,1952   58y,Asian,"Chinese; Western Zhou dynasty, 11th century_771 B.C.",Chinese; Western Zhou,Wine vessel (zun),late 10th century B.C.,-1099,-900,Bronze,"h. 16.4 cm., diam. lip 16.9 cm. (6 7/16 x 6 5/8 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection Fund",y1952-58.jpg,60,24418,Place made,Asia,,China
57,24317,y1952-59,1952   59y,Asian,"Japanese; Kamakura period, 1185_1333",Japanese; Kamakura period,Welcoming descent of Amida  ( ??????),14th century,1300,1399,"Hanging scroll; ink, color, gold, and silver on silk","124.5 x 66 cm. (49 x 26 in.)
frame: 225 _ 92.7 _ 4.8 cm (88 9/16 _ 36 1/2 _ 1 7/8 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection",y1952-59.jpg,61,24317,Place made,Asia,,Japan
58,24185,y1952-169,1952  169y,ABI,Roman; Tetrarchic,Roman; Tetrarchic,"Relief from a Christian sarcophagus: ""The Good Shepherd""",ca. A.D. 300,250,350,Marble,"h. 36.3 cm., w. 30.5 cm., d. 6.4 cm. (14 5/16 x 12 x 2 1/2 in.)","Museum purchase, gift of the Friends of the Princeton University Art Museum",y1952-169_OBL_c.jpg,62,24185,Place made,Europe,,Italy
59,24311,y1953-35,1953   35y,American,"Charles Herbert Moore, American, 1840_1930","Moore, Charles Herbert","Winter Landscape, Valley of the Catskill",1866,1866,1866,Oil on canvas,"18 x 26 cm. (7 1/16 x 10 1/4 in.)
frame: 28 _ 35.5 _ 4.7 cm (11 _ 14 _ 1 7/8 in.)",Gift of Frank Jewett Mather Jr.,y1953-35.jpg,63,24311,,,,
60,24435,y1953-56,1953   56y,American,"Abbott Handerson Thayer, American, 1849_1921","Thayer, Abbott Handerson","Monadnock, Winter Sunrise",1919,1919,1919,Oil on canvas,"133 x 158 cm. (52 3/8 x 62 3/16 in.)
frame: 168 _ 191.5 _ 10.5 cm (66 1/8 _ 75 3/8 _ 4 1/8 in.)",Gift of Frank Jewett Mather Jr.,y1953-56.jpg,64,24435,,,,
61,24559,y1953-57,1953   57y,EPS,French,French,Virgin and Child,ca. 1275_1300,1275,1300,Ivory,15.7 _ 5.7 _ 1.3 cm (6 3/16 _ 2 1/4 _ 1/2 in.),"Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1953-57.jpg,65,24559,Place made,,,France
62,24539,y1953-76,1953   76y,ABI,Egyptian; Late Period to Ptolemaic,Egyptian; Late Period,Falcon deity,664_30 B.C.,-712,-30,Bronze,"includes tangs: h. 24.3 cm., w. 7.0 cm., d. 2.1 cm. (9 9/16 x 2 3/4 x 13/16 in.)","Museum purchase, Carl Otto von Kienbusch Jr., Memorial Collection",y1953-76_1.jpg,66,24539,,,,
63,24513,y1953-78,1953   78y,EPS,"Jean-L_on G_r?me, French, 1824_1904","G_r?me, Jean-L_on",Napoleon in Egypt,1867_68,1867,1868,Oil on wood panel,"35.8 x 25.0 cm. (14 1/8 x 9 13/16 in.)
frame: 48.3 x 38.4 x 4.1 cm. (19 x 15 1/8 x 1 5/8 in.)","Museum purchase, John Maclean Magie, Class of 1892, and Gertrude Magie Fund",y1953-78.jpg,67,24513,,,,
64,8833,x1953-119,1953  119x,P&D,"Mary Cassatt, American, 1844_1926","Cassatt, Mary","Young Woman in a Black and Green Bonnet, Looking Down",ca. 1890,1885,1905,Pastel on tan wove paper,"65 x 52 cm. (25 9/16 x 20 1/2 in.)
frame: 76.6 _ 65.5 _ 4.2 cm (30 3/16 _ 25 13/16 _ 1 5/8 in.)",Gift of Sally Sample Aall,x1953-119.jpg,68,8833,,,,
65,24004,y1953-147,1953  147y,African,Chokwe artist,Chokwe,Caryatid headrest,before 1923,0,1923,Wood and brass,"h. 13.0 cm., w. 16.3 cm., d. 7.4 cm. (5 1/8 x 6 7/16 x 2 15/16 in.)","Gift of Mrs. Donald B. Doyle in memory of her husband, Class of 1905",y1953-147.jpg,69,24004,Place made,Africa,Central and South Africa,Angola or Democratic Republic of the Congo
66,24006,y1953-149 a-b,1953  149ya    b,African,Kuba (Shoowa) artist,Kuba,Cosmetic box,late 19th century,1870,1899,Wood and pigment,"h. 9.5 cm., w. 15.3 cm., d. 13.8 cm. (3 3/4 x 6 x 5 7/16 in.)","Gift of Mrs. Donald B. Doyle in memory of her husband, Class of 1905",y1953-149A-B.jpg,70,24006,Place made,,Central Africa,Democratic Republic of the Congo
67,9449,x1954-13,1954   13x,P&D,"Edgar Degas, French, 1834_1917","Degas, Edgar",Dancers,ca. 1899,1894,1904,Pastel with charcoal on tracing paper mounted on cream wove paper,"58.8 x 46.3 cm. (23 1/8 x 18 1/4 in.)
frame: 79.5 x 67.3 x 6.3 cm. (31 5/16 x 26 1/2 x 2 1/2 in.)","Bequest of Henry K. Dick, Class of 1909",x1954-13.jpg,71,9449,,,,
